#:Data_list: 20150530_Gp_pchan_5m.txt
#:Created: 2015 May 31 0011 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: P1 = Protons from 0.7 -   4 MeV units #/cm2-s-sr-MeV
# Label: P2 = Protons from   4 -   9 MeV units #/cm2-s-sr-MeV
# Label: P3 = Protons from   9 -  15 MeV units #/cm2-s-sr-MeV
# Label: P4 = Protons from  15 -  40 MeV units #/cm2-s-sr-MeV
# Label: P5 = Protons from  38 -  82 MeV units #/cm2-s-sr-MeV
# Label: P6 = Protons from  84 - 200 MeV units #/cm2-s-sr-MeV
# Label: P7 = Protons from 110 - 900 MeV units #/cm2-s-sr-MeV
# Label: P8 = Protons from 350 - 420 MeV units #/cm2-s-sr-MeV
# Label: P9 = Protons from 420 - 510 MeV units #/cm2-s-sr-MeV
# Label: P10= Protons from 510 - 700 MeV units #/cm2-s-sr-MeV
# Label: P11= Protons from      >700 MeV units #/cm2-s-sr-MeV
# Source: GOES-13
# Location: W075
# Missing data: -1.00e+05
#
#                                        5-minute  GOES-13 Energetic Proton Flux Channels
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day      P1        P2        P3        P4        P5        P6        P7        P8        P9       P10       P11
#---------------------------------------------------------------------------------------------------------------------------------------------
2015 05 30  0000   57172      0  6.71e-01  7.26e-02  1.88e-02  8.54e-03  1.20e-02  4.17e-03  1.94e-03  1.22e-03  9.49e-04  2.82e-04  9.94e-05
2015 05 30  0005   57172    300  8.02e-01  4.84e-02  4.69e-02  2.56e-02  1.49e-02  4.10e-03  1.90e-03  1.99e-03  4.52e-04  3.95e-04  1.15e-04
2015 05 30  0010   57172    600  5.07e-01  4.84e-02  2.81e-02  1.51e-02  1.36e-02  3.52e-03  2.48e-03  1.36e-03  9.49e-04  3.76e-04  1.27e-04
2015 05 30  0015   57172    900  5.09e-01  4.84e-02  1.88e-02  1.64e-02  1.02e-02  3.79e-03  1.92e-03  1.81e-03  9.03e-04  1.88e-04  1.25e-04
2015 05 30  0020   57172   1200  4.38e-01  8.47e-02  9.38e-03  1.51e-02  1.36e-02  4.54e-03  1.78e-03  1.36e-03  9.49e-04  4.14e-04  1.40e-04
2015 05 30  0025   57172   1500  5.20e-01  4.84e-02  3.75e-02  1.71e-02  1.24e-02  4.20e-03  2.05e-03  1.99e-03  9.94e-04  4.14e-04  1.31e-04
2015 05 30  0030   57172   1800  6.32e-01  1.33e-01  2.81e-02  1.45e-02  1.49e-02  4.91e-03  1.86e-03  1.76e-03  4.97e-04  3.39e-04  1.25e-04
2015 05 30  0035   57172   2100  5.74e-01  4.84e-02  1.88e-02  1.05e-02  1.14e-02  4.40e-03  1.87e-03  1.67e-03  9.03e-04  2.82e-04  1.31e-04
2015 05 30  0040   57172   2400  6.25e-01  1.09e-01  3.75e-02  1.05e-02  9.64e-03  3.22e-03  2.00e-03  1.76e-03  7.23e-04  2.07e-04  1.21e-04
2015 05 30  0045   57172   2700  3.60e-01  8.47e-02  1.88e-02  1.18e-02  1.00e-02  3.86e-03  1.86e-03  1.63e-03  4.97e-04  2.07e-04  1.64e-04
2015 05 30  0050   57172   3000  5.30e-01  7.26e-02  3.75e-02  1.12e-02  1.42e-02  3.56e-03  1.87e-03  1.36e-03  9.03e-04  4.14e-04  1.36e-04
2015 05 30  0055   57172   3300  4.85e-01  2.42e-02  2.81e-02  1.38e-02  1.12e-02  4.30e-03  1.91e-03  1.85e-03  9.03e-04  2.45e-04  1.27e-04
2015 05 30  0100   57172   3600  6.19e-01  3.63e-02  2.81e-02  1.25e-02  1.42e-02  3.90e-03  1.67e-03  1.40e-03  8.13e-04  2.26e-04  1.27e-04
2015 05 30  0105   57172   3900  5.09e-01  8.47e-02  2.81e-02  1.18e-02  1.16e-02  4.13e-03  2.04e-03  1.49e-03  8.13e-04  3.20e-04  1.34e-04
2015 05 30  0110   57172   4200  4.81e-01  7.26e-02  8.44e-02  1.77e-02  1.34e-02  4.17e-03  1.92e-03  1.31e-03  8.13e-04  3.58e-04  1.29e-04
2015 05 30  0115   57172   4500  4.23e-01  1.33e-01  6.57e-02  1.45e-02  1.02e-02  4.37e-03  1.67e-03  1.26e-03  1.13e-03  3.20e-04  1.40e-04
2015 05 30  0120   57172   4800  5.17e-01  1.33e-01  2.81e-02  1.71e-02  1.48e-02  4.84e-03  1.88e-03  1.31e-03  1.17e-03  4.52e-04  1.29e-04
2015 05 30  0125   57172   5100  2.11e-01  7.26e-02  8.44e-02  1.31e-02  1.08e-02  3.32e-03  1.79e-03  1.58e-03  1.26e-03  4.70e-04  1.11e-04
2015 05 30  0130   57172   5400  2.37e-01  8.47e-02  2.81e-02  1.51e-02  9.24e-03  4.67e-03  2.03e-03  1.31e-03  7.23e-04  3.58e-04  1.05e-04
2015 05 30  0135   57172   5700  3.75e-01  4.84e-02  9.38e-03  1.58e-02  1.06e-02  4.20e-03  2.05e-03  1.04e-03  1.17e-03  3.76e-04  1.09e-04
2015 05 30  0140   57172   6000  3.39e-01  8.47e-02  1.88e-02  1.05e-02  1.24e-02  3.62e-03  1.78e-03  1.72e-03  4.97e-04  3.58e-04  1.34e-04
2015 05 30  0145   57172   6300  5.13e-01  3.63e-02  5.63e-02  1.25e-02  1.32e-02  4.57e-03  1.69e-03  1.76e-03  8.58e-04  2.63e-04  1.25e-04
