#:Data_list: 20170101_Gp_pchan_5m.txt
#:Created: 2017 Jan 02 0011 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: P1 = Protons from 0.7 -   4 MeV units #/cm2-s-sr-MeV
# Label: P2 = Protons from   4 -   9 MeV units #/cm2-s-sr-MeV
# Label: P3 = Protons from   9 -  15 MeV units #/cm2-s-sr-MeV
# Label: P4 = Protons from  15 -  40 MeV units #/cm2-s-sr-MeV
# Label: P5 = Protons from  38 -  82 MeV units #/cm2-s-sr-MeV
# Label: P6 = Protons from  84 - 200 MeV units #/cm2-s-sr-MeV
# Label: P7 = Protons from 110 - 900 MeV units #/cm2-s-sr-MeV
# Label: P8 = Protons from 350 - 420 MeV units #/cm2-s-sr-MeV
# Label: P9 = Protons from 420 - 510 MeV units #/cm2-s-sr-MeV
# Label: P10= Protons from 510 - 700 MeV units #/cm2-s-sr-MeV
# Label: P11= Protons from      >700 MeV units #/cm2-s-sr-MeV
# Source: GOES-13
# Location: W074
# Missing data: -1.00e+05
#
#                                        5-minute  GOES-13 Energetic Proton Flux Channels
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day      P1        P2        P3        P4        P5        P6        P7        P8        P9       P10       P11
#---------------------------------------------------------------------------------------------------------------------------------------------
2017 01 01  0000   57754      0  8.24e-01  3.63e-02  3.75e-02  2.17e-02  1.81e-02  5.52e-03  2.55e-03  1.67e-03  1.22e-03  3.01e-04  1.75e-04
2017 01 01  0005   57754    300  8.28e-01  6.05e-02  2.81e-02  2.23e-02  1.77e-02  5.25e-03  2.68e-03  2.21e-03  9.49e-04  4.52e-04  1.66e-04
2017 01 01  0010   57754    600  8.62e-01  1.21e-01  1.88e-02  2.69e-02  1.67e-02  4.95e-03  2.50e-03  2.17e-03  1.13e-03  5.65e-04  1.54e-04
2017 01 01  0015   57754    900  8.24e-01  8.47e-02  1.88e-02  2.50e-02  1.69e-02  5.52e-03  2.65e-03  2.30e-03  1.08e-03  6.59e-04  1.79e-04
2017 01 01  0020   57754   1200  7.40e-01  8.47e-02  6.57e-02  3.15e-02  1.71e-02  5.28e-03  2.71e-03  2.62e-03  9.94e-04  3.58e-04  1.95e-04
2017 01 01  0025   57754   1500  7.35e-01  9.68e-02  2.81e-02  1.91e-02  1.48e-02  5.32e-03  2.85e-03  2.62e-03  9.49e-04  3.58e-04  1.71e-04
2017 01 01  0030   57754   1800  8.94e-01  1.21e-01  3.75e-02  2.30e-02  1.89e-02  5.35e-03  2.56e-03  2.53e-03  8.58e-04  6.96e-04  1.68e-04
2017 01 01  0035   57754   2100  4.55e-01  3.63e-02  4.69e-02  2.04e-02  1.89e-02  5.59e-03  2.55e-03  2.08e-03  9.94e-04  5.65e-04  2.18e-04
2017 01 01  0040   57754   2400  7.81e-01  1.09e-01  5.63e-02  2.10e-02  1.36e-02  5.15e-03  2.70e-03  1.49e-03  1.13e-03  3.01e-04  1.64e-04
2017 01 01  0045   57754   2700  8.50e-01  8.47e-02  9.38e-02  1.58e-02  1.71e-02  5.69e-03  2.20e-03  2.08e-03  1.76e-03  5.83e-04  1.32e-04
2017 01 01  0050   57754   3000  4.44e-01  7.26e-02  2.81e-02  1.58e-02  1.79e-02  5.25e-03  2.66e-03  2.48e-03  8.13e-04  4.33e-04  1.50e-04
2017 01 01  0055   57754   3300  6.34e-01  3.63e-02  4.69e-02  1.97e-02  1.99e-02  4.95e-03  2.75e-03  2.53e-03  9.03e-04  3.76e-04  1.52e-04
2017 01 01  0100   57754   3600  5.91e-01  9.68e-02  3.75e-02  1.84e-02  1.61e-02  5.59e-03  2.45e-03  2.66e-03  1.08e-03  3.39e-04  2.22e-04
2017 01 01  0105   57754   3900  5.63e-01  4.84e-02  5.63e-02  2.17e-02  1.61e-02  4.27e-03  2.59e-03  1.76e-03  1.26e-03  6.78e-04  1.99e-04
2017 01 01  0110   57754   4200  5.20e-01  9.68e-02  6.57e-02  2.69e-02  1.55e-02  6.00e-03  2.94e-03  1.81e-03  1.26e-03  4.70e-04  1.56e-04
2017 01 01  0115   57754   4500  5.11e-01  6.05e-02  1.88e-02  2.23e-02  1.48e-02  4.34e-03  2.51e-03  2.35e-03  8.13e-04  4.52e-04  1.97e-04
2017 01 01  0120   57754   4800  8.15e-01  1.33e-01  4.69e-02  1.91e-02  1.83e-02  5.12e-03  2.99e-03  2.53e-03  1.04e-03  4.14e-04  2.03e-04
2017 01 01  0125   57754   5100  6.83e-01  8.47e-02  6.57e-02  2.04e-02  1.73e-02  5.83e-03  2.48e-03  1.81e-03  1.26e-03  6.59e-04  1.56e-04
2017 01 01  0130   57754   5400  6.06e-01  7.26e-02  3.75e-02  9.86e-03  1.44e-02  5.12e-03  2.39e-03  2.48e-03  1.17e-03  4.89e-04  1.79e-04
2017 01 01  0135   57754   5700  8.17e-01  1.09e-01  4.69e-02  1.18e-02  1.61e-02  5.66e-03  2.49e-03  2.53e-03  1.36e-03  4.89e-04  1.83e-04
2017 01 01  0140   57754   6000  7.48e-01  4.84e-02  6.57e-02  1.84e-02  1.67e-02  5.08e-03  2.35e-03  2.30e-03  1.36e-03  6.02e-04  1.71e-04
2017 01 01  0145   57754   6300  6.34e-01  1.09e-01  5.63e-02  2.56e-02  1.51e-02  5.01e-03  2.89e-03  3.03e-03  1.36e-03  2.82e-04  1.95e-04
2017 01 01  0150   57754   6600  5.95e-01  1.09e-01  3.75e-02  1.64e-02  1.34e-02  6.47e-03  2.75e-03  2.57e-03  1.58e-03  3.76e-04  1.66e-04
2017 01 01  0155   57754   6900  8.41e-01  8.47e-02  1.88e-02  2.56e-02  1.89e-02  5.12e-03  3.17e-03  2.08e-03  1.26e-03  6.96e-04  1.69e-04
2017 01 01  0200   57754   7200  9.85e-01  8.47e-02  4.69e-02  2.69e-02  1.67e-02  5.76e-03  2.75e-03  2.71e-03  9.03e-04  6.02e-04  1.73e-04
2017 01 01  0205   57754   7500  1.23e+00  6.05e-02  5.63e-02  2.63e-02  1.65e-02  6.27e-03  2.44e-03  2.12e-03  1.45e-03  3.95e-04  1.81e-04
2017 01 01  0210   57754   7800  9.21e-01  6.05e-02  1.88e-02  2.56e-02  1.83e-02  6.03e-03  2.62e-03  2.94e-03  1.26e-03  5.08e-04  2.05e-04
2017 01 01  0215   57754   8100  9.96e-01  1.21e-01  7.50e-02  1.12e-02  1.71e-02  5.49e-03  2.97e-03  2.53e-03  7.68e-04  5.46e-04  1.81e-04
2017 01 01  0220   57754   8400  7.20e-01  6.05e-02  3.75e-02  1.97e-02  1.55e-02  5.25e-03  2.64e-03  2.48e-03  4.07e-04  5.65e-04  1.60e-04
2017 01 01  0225   57754   8700  6.62e-01  9.68e-02  9.38e-03  2.23e-02  2.03e-02  5.05e-03  2.71e-03  2.35e-03  1.40e-03  3.58e-04  1.71e-04
2017 01 01  0230   57754   9000  7.63e-01  1.09e-01  5.63e-02  1.91e-02  1.57e-02  6.40e-03  2.95e-03  2.98e-03  1.31e-03  3.20e-04  1.48e-04
2017 01 01  0235   57754   9300  8.02e-01  4.84e-02  2.81e-02  1.45e-02  1.61e-02  6.10e-03  2.65e-03  1.90e-03  1.76e-03  6.59e-04  2.14e-04
2017 01 01  0240   57754   9600  8.11e-01  1.21e-01  7.50e-02  2.37e-02  1.69e-02  6.03e-03  2.65e-03  2.26e-03  1.40e-03  5.65e-04  1.91e-04
2017 01 01  0245   57754   9900  7.09e-01  1.21e-01  7.50e-02  2.63e-02  2.05e-02  6.10e-03  2.71e-03  2.12e-03  1.40e-03  6.40e-04  1.77e-04
2017 01 01  0250   57754  10200  6.30e-01  9.68e-02  2.81e-02  1.84e-02  1.51e-02  5.83e-03  2.87e-03  1.90e-03  1.36e-03  5.08e-04  1.89e-04
2017 01 01  0255   57754  10500  5.43e-01  9.68e-02  5.63e-02  2.37e-02  1.24e-02  6.23e-03  2.47e-03  2.57e-03  9.49e-04  5.46e-04  1.71e-04
2017 01 01  0300   57754  10800  6.19e-01  9.68e-02  1.88e-02  2.50e-02  1.57e-02  6.00e-03  2.78e-03  1.81e-03  1.31e-03  5.08e-04  1.93e-04
2017 01 01  0305   57754  11100  8.13e-01  7.26e-02  2.81e-02  1.84e-02  1.69e-02  5.56e-03  2.65e-03  2.71e-03  1.08e-03  5.83e-04  1.62e-04
2017 01 01  0310   57754  11400  1.00e+00  9.68e-02  4.69e-02  2.43e-02  1.67e-02  5.96e-03  2.56e-03  2.17e-03  1.45e-03  4.70e-04  2.26e-04
2017 01 01  0315   57754  11700  9.81e-01  8.47e-02  4.69e-02  1.97e-02  2.07e-02  5.52e-03  2.98e-03  2.03e-03  1.17e-03  5.65e-04  2.03e-04
2017 01 01  0320   57754  12000  1.40e+00  4.84e-02  6.57e-02  1.51e-02  1.57e-02  5.52e-03  2.79e-03  2.39e-03  1.22e-03  4.52e-04  1.56e-04
