#:Data_list: 20190708_Gp_pchan_5m.txt
#:Created: 2019 Jul 09 0011 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: P1 = Protons from 0.7 -   4 MeV units #/cm2-s-sr-MeV
# Label: P2 = Protons from   4 -   9 MeV units #/cm2-s-sr-MeV
# Label: P3 = Protons from   9 -  15 MeV units #/cm2-s-sr-MeV
# Label: P4 = Protons from  15 -  40 MeV units #/cm2-s-sr-MeV
# Label: P5 = Protons from  38 -  82 MeV units #/cm2-s-sr-MeV
# Label: P6 = Protons from  84 - 200 MeV units #/cm2-s-sr-MeV
# Label: P7 = Protons from 110 - 900 MeV units #/cm2-s-sr-MeV
# Label: P8 = Protons from 350 - 420 MeV units #/cm2-s-sr-MeV
# Label: P9 = Protons from 420 - 510 MeV units #/cm2-s-sr-MeV
# Label: P10= Protons from 510 - 700 MeV units #/cm2-s-sr-MeV
# Label: P11= Protons from      >700 MeV units #/cm2-s-sr-MeV
# Source: GOES-14
# Location: W105
# Missing data: -1.00e+05
#
#                                        5-minute  GOES-14 Energetic Proton Flux Channels
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day      P1        P2        P3        P4        P5        P6        P7        P8        P9       P10       P11
#---------------------------------------------------------------------------------------------------------------------------------------------
2019 07 08  0000   58672      0  4.82e-01  4.32e-02  7.02e-03  2.96e-03  1.37e-03  2.64e-04  1.11e-03  3.21e-03  1.17e-03  9.22e-04  1.64e-04
2019 07 08  0005   58672    300  4.36e-01  1.07e-02  7.02e-03  5.58e-03  2.74e-03  2.64e-04  8.96e-04  3.88e-03  1.85e-03  1.22e-03  1.83e-04
2019 07 08  0010   58672    600  2.93e-01  6.85e-02  2.04e-02  4.27e-03  1.19e-03  2.64e-04  1.14e-03  3.34e-03  1.36e-03  8.47e-04  1.81e-04
2019 07 08  0015   58672    900  3.23e-01  3.22e-02  1.10e-02  2.30e-03  1.19e-03  2.64e-04  1.40e-03  3.12e-03  1.76e-03  9.22e-04  1.64e-04
2019 07 08  0020   58672   1200  1.52e-01  3.82e-02  7.02e-03  5.59e-03  2.16e-03  2.64e-04  9.17e-04  3.79e-03  2.08e-03  7.34e-04  1.79e-04
2019 07 08  0025   58672   1500  2.65e-01  1.05e-02  7.27e-03  1.01e-02  1.20e-03  8.87e-04  1.01e-03  3.52e-03  1.94e-03  1.09e-03  1.25e-04
2019 07 08  0030   58672   1800  7.49e-02  2.13e-02  4.64e-02  3.61e-03  1.20e-03  2.65e-04  1.14e-03  4.52e-03  2.21e-03  1.04e-03  1.73e-04
2019 07 08  0035   58672   2100  2.10e-01  1.05e-02  7.27e-03  7.84e-03  1.42e-03  4.14e-04  1.01e-03  3.66e-03  1.13e-03  1.09e-03  1.73e-04
2019 07 08  0040   58672   2400  2.97e-01  1.05e-02  7.27e-03  4.93e-03  1.20e-03  2.65e-04  1.02e-03  2.57e-03  2.17e-03  8.47e-04  1.66e-04
2019 07 08  0045   58672   2700  2.30e-01  1.05e-02  8.88e-03  2.30e-03  1.20e-03  2.65e-04  1.09e-03  3.75e-03  2.80e-03  7.72e-04  1.56e-04
2019 07 08  0050   58672   3000  3.44e-01  1.05e-02  1.77e-02  2.38e-03  1.20e-03  5.09e-04  7.79e-04  2.76e-03  1.58e-03  8.85e-04  1.77e-04
2019 07 08  0055   58672   3300  2.06e-01  1.05e-02  2.65e-02  2.07e-03  1.35e-03  3.51e-04  1.31e-03  3.97e-03  1.90e-03  8.85e-04  1.66e-04
2019 07 08  0100   58672   3600  1.37e-01  5.26e-02  1.07e-02  5.58e-03  3.92e-03  2.65e-04  1.05e-03  4.47e-03  1.85e-03  1.02e-03  1.54e-04
2019 07 08  0105   58672   3900  1.33e-01  1.05e-02  1.70e-02  4.91e-03  1.20e-03  8.56e-04  1.30e-03  3.84e-03  1.40e-03  9.22e-04  1.56e-04
2019 07 08  0110   58672   4200  2.28e-01  1.30e-01  7.27e-03  9.53e-03  1.20e-03  2.65e-04  1.18e-03  3.88e-03  1.72e-03  1.04e-03  1.50e-04
2019 07 08  0115   58672   4500  2.32e-01  1.05e-02  8.47e-03  1.30e-03  1.20e-03  4.46e-04  7.34e-04  3.25e-03  1.67e-03  9.97e-04  1.34e-04
2019 07 08  0120   58672   4800  1.61e-01  1.05e-02  7.27e-03  6.90e-03  1.20e-03  2.65e-04  1.26e-03  3.66e-03  1.94e-03  9.60e-04  1.46e-04
2019 07 08  0125   58672   5100  7.20e-02  5.62e-02  7.28e-03  7.57e-03  1.36e-03  5.40e-04  1.16e-03  3.12e-03  1.63e-03  6.21e-04  1.83e-04
2019 07 08  0130   58672   5400  2.54e-01  1.05e-02  3.70e-02  1.41e-02  1.20e-03  2.65e-04  1.26e-03  3.61e-03  1.94e-03  9.03e-04  1.60e-04
2019 07 08  0135   58672   5700  2.06e-01  2.13e-02  1.83e-02  6.90e-03  1.20e-03  2.65e-04  1.03e-03  3.25e-03  1.58e-03  7.15e-04  1.87e-04
2019 07 08  0140   58672   6000  1.33e-01  3.29e-02  8.03e-03  5.98e-03  1.20e-03  6.66e-04  1.23e-03  3.66e-03  2.12e-03  9.60e-04  1.89e-04
2019 07 08  0145   58672   6300  1.07e-01  4.67e-02  7.27e-03  5.58e-03  2.93e-03  2.65e-04  1.07e-03  3.84e-03  1.58e-03  1.28e-03  1.46e-04
2019 07 08  0150   58672   6600  7.28e-02  1.05e-02  7.27e-03  3.61e-03  1.20e-03  2.65e-04  9.22e-04  3.66e-03  1.99e-03  7.72e-04  1.89e-04
2019 07 08  0155   58672   6900  1.22e-01  1.05e-02  7.27e-03  9.53e-03  2.15e-03  2.65e-04  8.10e-04  3.34e-03  1.76e-03  9.41e-04  1.99e-04
2019 07 08  0200   58672   7200  1.94e-01  1.05e-02  7.27e-03  2.30e-03  1.20e-03  2.65e-04  9.67e-04  3.88e-03  1.90e-03  1.28e-03  1.31e-04
2019 07 08  0205   58672   7500  1.98e-01  1.05e-02  1.83e-02  9.53e-03  1.20e-03  2.65e-04  1.08e-03  3.70e-03  1.67e-03  1.04e-03  1.93e-04
2019 07 08  0210   58672   7800  2.50e-01  1.05e-02  7.27e-03  7.55e-03  1.20e-03  2.65e-04  1.11e-03  3.21e-03  2.12e-03  7.72e-04  1.69e-04
2019 07 08  0215   58672   8100  2.39e-01  1.05e-02  7.27e-03  1.28e-02  1.20e-03  2.65e-04  1.31e-03  3.39e-03  1.72e-03  7.34e-04  1.36e-04
2019 07 08  0220   58672   8400  1.43e-01  1.05e-02  7.27e-03  1.02e-02  1.34e-03  2.65e-04  1.22e-03  3.52e-03  1.72e-03  8.28e-04  1.69e-04
2019 07 08  0225   58672   8700  1.35e-01  1.05e-02  7.27e-03  5.28e-03  1.20e-03  3.83e-04  6.47e-04  3.39e-03  1.40e-03  7.90e-04  1.75e-04
2019 07 08  0230   58672   9000  1.74e-01  1.05e-02  7.65e-03  2.94e-03  1.20e-03  8.56e-04  1.17e-03  3.34e-03  1.40e-03  8.66e-04  1.58e-04
2019 07 08  0235   58672   9300  1.63e-01  1.06e-01  7.27e-03  1.01e-02  1.20e-03  6.03e-04  7.79e-04  4.02e-03  1.72e-03  7.53e-04  1.36e-04
2019 07 08  0240   58672   9600  8.57e-02  1.05e-02  2.76e-02  8.87e-03  1.20e-03  2.65e-04  1.26e-03  4.07e-03  1.81e-03  9.22e-04  1.71e-04
2019 07 08  0245   58672   9900  2.45e-01  1.05e-02  7.27e-03  1.28e-02  1.20e-03  2.65e-04  1.15e-03  3.84e-03  1.90e-03  7.72e-04  1.58e-04
2019 07 08  0250   58672  10200  6.63e-02  1.05e-02  7.27e-03  9.53e-03  1.20e-03  2.65e-04  9.22e-04  2.98e-03  1.90e-03  8.09e-04  1.48e-04
2019 07 08  0255   58672  10500  5.98e-02  1.05e-02  1.83e-02  1.30e-03  1.20e-03  2.65e-04  9.42e-04  3.34e-03  1.94e-03  7.72e-04  1.48e-04
2019 07 08  0300   58672  10800  2.02e-01  1.05e-02  1.83e-02  4.27e-03  1.20e-03  2.65e-04  6.22e-04  4.29e-03  2.21e-03  9.03e-04  1.54e-04
2019 07 08  0305   58672  11100  4.26e-02  1.05e-02  7.27e-03  6.53e-03  1.20e-03  4.14e-04  1.07e-03  2.85e-03  1.22e-03  9.03e-04  2.16e-04
2019 07 08  0310   58672  11400  1.31e-01  1.05e-02  3.70e-02  1.02e-02  1.20e-03  2.65e-04  9.52e-04  4.11e-03  1.85e-03  9.60e-04  1.64e-04
2019 07 08  0315   58672  11700  9.43e-02  3.32e-02  7.27e-03  1.30e-03  1.20e-03  3.83e-04  1.28e-03  3.88e-03  1.36e-03  7.72e-04  1.85e-04
2019 07 08  0320   58672  12000  1.07e-01  1.05e-02  7.27e-03  8.21e-03  1.20e-03  2.65e-04  7.19e-04  3.84e-03  1.85e-03  9.03e-04  1.91e-04
2019 07 08  0325   58672  12300  3.03e-01  1.05e-02  7.27e-03  7.26e-03  1.20e-03  3.83e-04  1.08e-03  2.62e-03  2.03e-03  1.02e-03  1.93e-04
2019 07 08  0330   58672  12600  8.57e-02  1.05e-02  8.88e-03  8.21e-03  1.20e-03  2.65e-04  1.21e-03  4.47e-03  1.72e-03  1.04e-03  1.50e-04
2019 07 08  0335   58672  12900  7.49e-02  1.05e-02  7.27e-03  2.95e-03  1.20e-03  2.65e-04  1.01e-03  3.57e-03  1.67e-03  9.79e-04  1.32e-04
2019 07 08  0340   58672  13200  7.06e-02  1.05e-02  7.27e-03  6.39e-03  1.20e-03  4.77e-04  1.27e-03  3.16e-03  1.63e-03  8.66e-04  1.60e-04
2019 07 08  0345   58672  13500  1.98e-01  1.05e-02  7.27e-03  9.53e-03  1.20e-03  2.65e-04  9.07e-04  3.34e-03  1.99e-03  9.03e-04  1.50e-04
2019 07 08  0350   58672  13800  1.65e-01  1.05e-02  1.77e-02  4.94e-03  1.20e-03  5.40e-04  8.76e-04  3.03e-03  1.81e-03  8.09e-04  1.34e-04
2019 07 08  0355   58672  14100  5.16e-02  1.05e-02  7.27e-03  1.15e-02  1.55e-03  2.65e-04  1.25e-03  3.34e-03  1.58e-03  7.34e-04  1.69e-04
2019 07 08  0400   58672  14400  7.49e-02  1.05e-02  7.27e-03  1.30e-03  1.20e-03  2.65e-04  9.47e-04  3.12e-03  2.03e-03  9.60e-04  1.69e-04
2019 07 08  0405   58672  14700  1.29e-01  1.05e-02  4.64e-02  1.02e-02  1.20e-03  2.65e-04  8.61e-04  3.07e-03  1.81e-03  9.60e-04  1.62e-04
2019 07 08  0410   58672  15000  8.35e-02  3.24e-02  7.27e-03  2.16e-02  1.20e-03  1.01e-03  8.56e-04  3.66e-03  1.54e-03  8.66e-04  1.46e-04
2019 07 08  0415   58672  15300  1.83e-01  2.25e-02  7.27e-03  1.48e-02  2.93e-03  2.65e-04  1.10e-03  2.89e-03  1.99e-03  1.36e-03  1.46e-04
2019 07 08  0420   58672  15600  8.12e-03  1.05e-02  7.27e-03  4.93e-03  1.75e-03  2.65e-04  1.24e-03  4.34e-03  1.54e-03  8.28e-04  1.89e-04
2019 07 08  0425   58672  15900  7.49e-02  1.05e-02  7.27e-03  1.30e-03  1.20e-03  2.65e-04  8.86e-04  3.70e-03  1.58e-03  9.60e-04  1.54e-04
2019 07 08  0430   58672  16200  1.61e-01  1.05e-02  7.27e-03  4.93e-03  1.20e-03  2.65e-04  8.40e-04  3.88e-03  1.54e-03  1.07e-03  1.99e-04
2019 07 08  0435   58672  16500  7.20e-02  3.24e-02  7.27e-03  6.90e-03  1.36e-03  2.65e-04  1.25e-03  3.70e-03  1.40e-03  1.02e-03  1.50e-04
2019 07 08  0440   58672  16800  9.08e-02  1.05e-02  7.27e-03  6.24e-03  2.34e-03  2.65e-04  1.16e-03  3.75e-03  1.72e-03  8.66e-04  1.34e-04
2019 07 08  0445   58672  17100  2.10e-02  3.34e-02  7.27e-03  1.30e-03  1.20e-03  2.65e-04  9.42e-04  4.07e-03  1.67e-03  9.41e-04  1.54e-04
2019 07 08  0450   58672  17400  2.02e-01  1.05e-02  8.88e-03  6.24e-03  1.20e-03  2.65e-04  9.32e-04  3.75e-03  1.76e-03  8.09e-04  1.60e-04
2019 07 08  0455   58672  17700  1.09e-01  2.13e-02  7.27e-03  1.30e-03  1.20e-03  2.65e-04  1.23e-03  5.10e-03  1.22e-03  6.96e-04  1.50e-04
2019 07 08  0500   58672  18000  3.60e-02  1.30e-01  8.65e-03  1.30e-03  1.21e-03  3.20e-04  9.32e-04  3.79e-03  1.13e-03  8.85e-04  1.56e-04
2019 07 08  0505   58672  18300  1.37e-01  1.06e-01  7.27e-03  1.51e-02  1.20e-03  3.83e-04  1.29e-03  3.79e-03  1.54e-03  1.09e-03  1.83e-04
2019 07 08  0510   58672  18600  2.67e-01  3.21e-02  7.27e-03  3.61e-03  3.33e-03  2.65e-04  1.13e-03  3.12e-03  1.58e-03  9.79e-04  1.64e-04
2019 07 08  0515   58672  18900  1.72e-01  1.05e-02  7.27e-03  9.64e-03  1.20e-03  7.92e-04  1.22e-03  3.43e-03  2.21e-03  1.02e-03  1.38e-04
2019 07 08  0520   58672  19200  5.90e-02  1.05e-02  7.27e-03  5.58e-03  1.36e-03  2.65e-04  8.71e-04  3.48e-03  1.54e-03  8.28e-04  1.29e-04
2019 07 08  0525   58672  19500  1.68e-01  6.88e-02  7.27e-03  9.37e-03  1.20e-03  9.19e-04  1.26e-03  3.57e-03  1.63e-03  7.90e-04  1.50e-04
2019 07 08  0530   58672  19800  7.71e-02  1.05e-02  7.27e-03  1.08e-02  1.20e-03  2.65e-04  9.07e-04  3.48e-03  1.90e-03  8.85e-04  1.50e-04
2019 07 08  0535   58672  20100  1.50e-01  1.54e-01  7.27e-03  1.64e-03  1.20e-03  2.65e-04  5.81e-04  4.20e-03  1.85e-03  1.05e-03  1.58e-04
2019 07 08  0540   58672  20400  1.54e-01  1.05e-02  7.27e-03  1.23e-02  3.06e-03  4.77e-04  1.14e-03  3.30e-03  1.54e-03  8.09e-04  1.66e-04
2019 07 08  0545   58672  20700  5.77e-02  6.89e-02  7.27e-03  2.28e-03  1.20e-03  8.56e-04  1.05e-03  3.79e-03  1.72e-03  1.02e-03  1.44e-04
2019 07 08  0550   58672  21000  1.14e-01  8.18e-02  7.27e-03  6.24e-03  1.20e-03  2.65e-04  9.78e-04  3.61e-03  1.72e-03  9.79e-04  1.69e-04
2019 07 08  0555   58672  21300  1.05e-01  1.05e-02  7.27e-03  1.30e-03  1.20e-03  4.77e-04  1.35e-03  3.70e-03  1.76e-03  8.66e-04  1.54e-04
