median_p4 median_p5 median_p6 satellite time_mjd
0.0151 0.0122 0.00407 13 57171.999222407
0.01465 0.012 0.00407 13 57172.999222407
0.0145 0.0118 0.004 13 57173.999222407
0.0151 0.0118 0.00407 13 57174.999222407
0.0145 0.0118 0.004 13 57175.999222407
0.0145 0.012 0.004 13 57176.999222407
0.0145 0.0118 0.00403 13 57177.999222407
0.0145 0.012 0.00403 13 57178.999222407
0.0148 0.0121 0.00403 13 57179.999222407
0.0145 0.0114 0.00393 13 57180.999222407
0.0145 0.0118 0.004 13 57181.999222407
0.0145 0.012 0.004 13 57182.999222407
0.0151 0.0122 0.00403 13 57183.999222407
0.0158 0.0123 0.0041 13 57184.999222407
0.0148 0.0122 0.00407 13 57185.999222407
0.0151 0.012 0.004 13 57186.999222407
0.0145 0.0116 0.003915 13 57187.999222407
0.0145 0.012 0.004 13 57188.999222407
0.0139 0.011699999999999999 0.004 13 57189.999222407
0.3045 0.0153 0.00393 13 57190.999222407
0.135 0.0124 0.004 13 57191.999222407
0.0335 0.0122 0.00407 13 57192.999222407
0.0473 0.0126 0.00403 13 57193.999222407
2.625 0.0235 0.003945000000000001 13 57194.999222407
0.263 0.0118 0.00356 13 57195.999222407
0.092 0.0114 0.00356 13 57196.999222407
0.0726 0.011099999999999999 0.00349 13 57197.999222407
0.369 0.0136 0.00349 13 57198.999222407
0.1785 0.0114 0.00356 13 57199.999222407
0.09625 0.0114 0.00362 13 57200.999222407
0.046 0.011099999999999999 0.00369 13 57201.999222407
0.021 0.0114 0.0038450000000000003 13 57202.999222407
0.0171 0.0118 0.0039 13 57203.999222407
0.0315 0.0119 0.00396 13 57204.999222407
0.0197 0.0118 0.004 13 57205.999222407
0.0164 0.0122 0.004 13 57206.999222407
0.0151 0.0118 0.00396 13 57207.999222407
0.0151 0.0118 0.004 13 57208.999222407
0.0151 0.0124 0.00403 13 57209.999222407
0.0151 0.012 0.00405 13 57210.999222407
0.0145 0.0121 0.00417 13 57211.999222407
0.0158 0.0122 0.00413 13 57212.999222407
0.0145 0.0124 0.0041 13 57213.999222407
0.0151 0.012 0.00407 13 57214.999222407
0.0145 0.0118 0.00393 13 57215.999222407
0.0145 0.0116 0.0039 13 57216.999222407
0.0145 0.012 0.004 13 57217.999222407
0.0145 0.012 0.004 13 57218.999222407
0.0151 0.0121 0.004 13 57219.999222407
0.0145 0.012 0.00403 13 57220.999222407
0.0145 0.012 0.00403 13 57221.999222407
0.0151 0.0122 0.00403 13 57222.999222407
0.0151 0.012 0.0040149999999999995 13 57223.999222407
0.0145 0.0122 0.00403 13 57224.999222407
0.0151 0.0124 0.00407 13 57225.999222407
0.0151 0.0122 0.0041 13 57226.999222407
0.0151 0.0124 0.00417 13 57227.999222407
0.0151 0.0122 0.00413 13 57228.999222407
0.0145 0.012 0.00407 13 57229.999222407
0.0151 0.012 0.004085 13 57230.999222407
0.0145 0.0118 0.00403 13 57231.999222407
0.0151 0.0122 0.00417 13 57232.999222407
0.0145 0.0122 0.0041 13 57233.999222407
0.0151 0.0124 0.0042 13 57234.999222407
0.0158 0.0124 0.0042 13 57235.999222407
0.0151 0.0124 0.00417 13 57236.999222407
0.0158 0.0126 0.0042 13 57237.999222407
0.0151 0.0126 0.00413 13 57238.999222407
0.0151 0.0124 0.0042 13 57239.999222407
0.0151 0.0122 0.0042 13 57240.999222407
0.0151 0.0124 0.00417 13 57241.999222407
0.0151 0.0124 0.0042 13 57242.999222407
0.0151 0.0126 0.0042 13 57243.999222407
0.0151 0.0122 0.004115000000000001 13 57244.999222407
0.0145 0.012 0.00407 13 57245.999222407
0.0151 0.0122 0.00413 13 57246.999222407
0.0151 0.0124 0.00413 13 57247.999222407
0.0151 0.012 0.00396 13 57248.999222407
0.0151 0.0116 0.004 13 57249.999222407
0.0145 0.012 0.00403 13 57250.999222407
0.0151 0.012 0.00417 13 57251.999222407
0.0158 0.0126 0.00423 13 57252.999222407
0.0151 0.0122 0.0042 13 57253.999222407
0.0151 0.0126 0.00417 13 57254.999222407
0.0151 0.0124 0.00413 13 57255.999222407
0.0151 0.0124 0.0042 13 57256.999222407
0.0158 0.0124 0.0042 13 57257.999222407
0.0158 0.0126 0.0042 13 57258.999222407
0.0151 0.012 0.00403 13 57259.999222407
0.0151 0.012 0.00396 13 57260.999222407
0.0151 0.0122 0.00403 13 57261.999222407
0.0151 0.0126 0.004215 13 57262.999222407
0.0151 0.0126 0.0042 13 57263.999222407
0.0158 0.0128 0.00423 13 57264.999222407
0.0158 0.0126 0.0042 13 57265.999222407
0.0158 0.0128 0.00423 13 57266.999222407
0.0151 0.0126 0.00423 13 57267.999222407
0.0151 0.0128 0.00423 13 57268.999222407
0.0151 0.0128 0.00423 13 57269.999222407
0.0158 0.0128 0.0042 13 57270.999222407
0.0151 0.0126 0.00413 13 57271.999222407
0.0145 0.0118 0.00396 13 57272.999222407
0.0145 0.0122 0.00403 13 57273.999222407
0.0151 0.0122 0.00407 13 57274.999222407
0.0145 0.0122 0.00407 13 57275.999222407
0.0151 0.012 0.004 13 57276.999222407
0.0151 0.012 0.00407 13 57277.999222407
0.0151 0.0122 0.00403 13 57278.999222407
0.0151 0.012 0.00407 13 57279.999222407
0.0145 0.0122 0.00407 13 57280.999222407
0.0151 0.0122 0.00413 13 57281.999222407
0.0151 0.0124 0.00417 13 57282.999222407
0.0151 0.0128 0.00423 13 57283.999222407
0.0164 0.0128 0.00423 13 57284.999222407
0.0204 0.0128 0.0042 13 57285.999222407
0.0151 0.0124 0.00417 13 57286.999222407
0.0151 0.0122 0.0042 13 57287.999222407
0.0151 0.0126 0.00413 13 57288.999222407
0.0158 0.0124 0.0042 13 57289.999222407
0.0158 0.0126 0.0042 13 57290.999222407
0.0151 0.0126 0.004215 13 57291.999222407
0.0158 0.0128 0.00425 13 57292.999222407
0.0158 0.0126 0.00427 13 57293.999222407
0.0158 0.0126 0.00417 13 57294.999222407
0.0177 0.0128 0.00427 13 57295.999222407
0.0158 0.013 0.00434 13 57296.999222407
0.0151 0.0126 0.0042 13 57297.999222407
0.0158 0.0124 0.0042 13 57298.999222407
0.0151 0.0124 0.00413 13 57299.999222407
0.0158 0.0122 0.00417 13 57300.999222407
0.0158 0.0124 0.0041 13 57301.999222407
0.0151 0.0124 0.00413 13 57302.999222407
0.0151 0.0126 0.0042 13 57303.999222407
0.0151 0.0124 0.00417 13 57304.999222407
0.0151 0.0124 0.00413 13 57305.999222407
0.0151 0.0124 0.00417 13 57306.999222407
0.0151 0.0124 0.00413 13 57307.999222407
0.0151 0.0122 0.00417 13 57308.999222407
0.0151 0.0122 0.00413 13 57309.999222407
0.0158 0.0124 0.00417 13 57310.999222407
0.0158 0.0124 0.00423 13 57311.999222407
0.0158 0.0128 0.00423 13 57312.999222407
0.015450000000000002 0.0126 0.0042 13 57313.999222407
0.0151 0.0124 0.0042 13 57314.999222407
0.0151 0.0124 0.00423 13 57315.999222407
0.0164 0.0126 0.00427 13 57316.999222407
0.0164 0.0126 0.004285000000000001 13 57317.999222407
0.0158 0.0128 0.00427 13 57318.999222407
0.0158 0.0128 0.00423 13 57319.999222407
0.0158 0.0126 0.0042 13 57320.999222407
0.0151 0.0126 0.00417 13 57321.999222407
0.0158 0.013 0.00423 13 57322.999222407
0.224 0.040900000000000006 0.007025 13 57323.999222407
0.0552 0.0179 0.00474 13 57324.999222407
0.025 0.0142 0.0043 13 57325.999222407
0.0184 0.0134 0.00434 13 57326.999222407
0.0171 0.0132 0.00437 13 57327.999222407
0.0164 0.0132 0.00437 13 57328.999222407
0.0171 0.0128 0.0042 13 57329.999222407
0.0164 0.0129 0.00423 13 57330.999222407
0.0158 0.0128 0.00427 13 57331.999222407
0.0151 0.0122 0.0041 13 57332.999222407
0.0158 0.0126 0.0042 13 57333.999222407
0.0171 0.0132 0.0043 13 57334.999222407
0.0335 0.0137 0.00417 13 57335.999222407
0.01675 0.0123 0.0041 13 57336.999222407
0.0151 0.0122 0.00407 13 57337.999222407
0.0158 0.0126 0.00413 13 57338.999222407
0.0151 0.0124 0.00413 13 57339.999222407
0.0158 0.0126 0.00417 13 57340.999222407
0.0158 0.0126 0.00417 13 57341.999222407
