median_p4 median_p5 median_p6 satellite time_mjd
0.0131 0.012 0.00356 15 57171.999222407
0.0131 0.012 0.00352 15 57172.999222407
0.0131 0.0116 0.00349 15 57173.999222407
0.0131 0.0118 0.00349 15 57174.999222407
0.0125 0.0118 0.00349 15 57175.999222407
0.0125 0.0116 0.00342 15 57176.999222407
0.0128 0.0116 0.00346 15 57177.999222407
0.0131 0.0114 0.00342 15 57178.999222407
0.0125 0.0116 0.00349 15 57179.999222407
0.0112 0.0112 0.00335 15 57180.999222407
-100000.0 -100000.0 -100000.0 15 57181.999222407
0.0125 0.0118 0.00346 15 57182.999222407
0.0131 0.012 0.00359 15 57183.999222407
0.0131 0.012 0.00356 15 57184.999222407
0.0131 0.012 0.0035050000000000003 15 57185.999222407
0.0131 0.0118 0.00342 15 57186.999222407
0.0125 0.0114 0.00342 15 57187.999222407
0.0125 0.0116 0.00342 15 57188.999222407
0.0131 0.0118 0.00342 15 57189.999222407
0.2505 0.0148 0.00342 15 57190.999222407
0.108 0.0124 0.00352 15 57191.999222407
0.0276 0.012 0.00359 15 57192.999222407
0.0401 0.0122 0.00356 15 57193.999222407
2.06 0.0211 0.00346 15 57194.999222407
0.199 0.0116 0.00305 15 57195.999222407
0.0756 0.011 0.00318 15 57196.999222407
0.061450000000000005 0.0108 0.00295 15 57197.999222407
0.288 0.0132 0.00308 15 57198.999222407
0.15 0.011099999999999999 0.00318 15 57199.999222407
0.0759 0.0108 0.00318 15 57200.999222407
0.0401 0.011 0.00322 15 57201.999222407
0.0177 0.0114 0.00335 15 57202.999222407
0.0151 0.0118 0.00342 15 57203.999222407
0.0266 0.0118 0.00339 15 57204.999222407
0.0164 0.0118 0.00342 15 57205.999222407
0.0138 0.0116 0.00352 15 57206.999222407
0.0131 0.0118 0.00346 15 57207.999222407
0.0131 0.0116 0.00352 15 57208.999222407
0.0131 0.012 0.00349 15 57209.999222407
0.0131 0.0118 0.00352 15 57210.999222407
0.0131 0.012 0.00352 15 57211.999222407
0.0138 0.012 0.00359 15 57212.999222407
0.0131 0.0118 0.00356 15 57213.999222407
0.0131 0.0118 0.00349 15 57214.999222407
0.0125 0.0114 0.003405 15 57215.999222407
0.0125 0.0114 0.00342 15 57216.999222407
0.0125 0.0116 0.00349 15 57217.999222407
0.0125 0.0116 0.00342 15 57218.999222407
0.0131 0.0114 0.00346 15 57219.999222407
0.0131 0.0116 0.00346 15 57220.999222407
0.0131 0.0116 0.00352 15 57221.999222407
0.0131 0.0116 0.00356 15 57222.999222407
0.0125 0.0118 0.00346 15 57223.999222407
0.0131 0.0118 0.00352 15 57224.999222407
0.0128 0.012 0.00359 15 57225.999222407
0.0138 0.0118 0.00356 15 57226.999222407
0.0138 0.012 0.00359 15 57227.999222407
0.0131 0.0118 0.00356 15 57228.999222407
0.0131 0.012 0.0035050000000000003 15 57229.999222407
